"40.3.2. макаронные изделия",002522,"ИЗДЕЛИЯ МАКАР. \"СЕНСОЙ\" ФУНЧОЗА 200гр.",шт,4607041133665,1,
"40.3.2. макаронные изделия",002528,"ИЗДЕЛИЯ МАКАР. \"СЕНСОЙ\" ЛАПША ГРЕЧНЕВАЯ 300гр.",шт,4607041132729,1,
"40.3.2. макаронные изделия",002529,"ИЗДЕЛИЯ МАКАР. \"СЕНСОЙ\" ЛАПША SOMEN ПШЕНИЧНАЯ 300гр.",шт,4607041132712,1,
"40.3.2. макаронные изделия",002530,"ИЗДЕЛИЯ МАКАР. \"СЕНСОЙ\" ЛАПША ПШЕНИЧНАЯ ЮДОН 300гр.",шт,4607041132705,1,
"40.3.2. макаронные изделия",002531,"ИЗДЕЛИЯ МАКАР. \"СЕНСОЙ\" ЛАПША РИСОВАЯ ПРЕМИУМ 300гр.",шт,4607041132736,1,
"40.3.2. макаронные изделия",002532,"ИЗДЕЛИЯ МАКАР. \"СЕНСОЙ\" ЛАПША ЯИЧНАЯ EGG NOODLE 300гр.",шт,4607041132743,1,
"40.3.2. макаронные изделия",003420,"ИЗДЕЛИЯ МАКАР. \"DE CECCO\" СПАГЕТТИ №12 500гр.",шт,8001250120120,1,
"40.3.2. макаронные изделия",003430,"ИЗДЕЛИЯ МАКАР. \"ЗНАТНЫЕ\" РОЖКИ 450гр.",шт,4660000320056,1,
"40.3.2. макаронные изделия",004659,"ИЗДЕЛИЯ МАКАР. \"MALTAGLIATI\" РОЖКИ №038 500гр.",шт,8001810903507,1,
"40.3.2. макаронные изделия",004660,"ИЗДЕЛИЯ МАКАР. \"ЩЕБЕКИНСКИЕ\" УЛИТКА САБО №395 450гр.",шт,4607001850144,1,
"40.3.2. макаронные изделия",004802,"ИЗДЕЛИЯ МАКАР. \"MALTAGLIATI\" ПЕРЬЯ №074 500гр.",шт,8001810903576,1,
"40.3.2. макаронные изделия",005541,"ИЗДЕЛИЯ МАКАР. \"MALTAGLIATI\" БАНТИКИ №106 500гр.",шт,8001810903613,1,
"40.3.2. макаронные изделия",005544,"ИЗДЕЛИЯ МАКАР. \"PASTA ZARA\" ВЕРМИШЕЛЬ №080 500гр.",шт,8004350130808,1,
"40.3.2. макаронные изделия",005545,"ИЗДЕЛИЯ МАКАР. \"MALTAGLIATI\" ВЕРМИШЕЛЬ №090 500гр.",шт,8001810903521,1,
"40.3.2. макаронные изделия",005547,"ИЗДЕЛИЯ МАКАР. \"МАКФА\" СПАГЕТТИ 950гр.",шт,4601780001414,1,
"40.3.2. макаронные изделия",005551,"ИЗДЕЛИЯ МАКАР. \"МАКФА\" ЯИЧНЫЕ 950гр.",шт,4601780001445,1,
"40.3.2. макаронные изделия",005552,"ИЗДЕЛИЯ МАКАР. \"МАКФА\" ПАУТИНКА 450гр.",шт,4601780000608,1,
"40.3.2. макаронные изделия",005555,"ИЗДЕЛИЯ МАКАР. \"ШЕБЕКИНСКИЕ\" ВЕРМИШЕЛЬ ЛЕГК. 450гр.",шт,4607001850243,1,
"40.3.2. макаронные изделия",005557,"ИЗДЕЛИЯ МАКАР. \"МАКФА\" ВИТКИ 450гр.",шт,"4601780000264 4601780000790","1 1"," "
"40.3.2. макаронные изделия",005558,"ИЗДЕЛИЯ МАКАР. \"МАКФА\" ЛАПША 450гр.",шт,4601780006716,1,
"40.3.2. макаронные изделия",005559,"ИЗДЕЛИЯ МАКАР. \"МАКФА\" СОЛОМКА 400гр.",шт,4601780000219,1,
"40.3.2. макаронные изделия",005560,"ИЗДЕЛИЯ МАКАР. \"МАКФА\" ГРЕБЕШКИ 450гр.",шт,4601780000899,1,
"40.3.2. макаронные изделия",005561,"ИЗДЕЛИЯ МАКАР. \"МАКФА\" РАКУШКИ 450гр.",шт,4601780000837,1,
"40.3.2. макаронные изделия",005562,"ИЗДЕЛИЯ МАКАР. \"МАКФА\" РОЖКИ 450гр.",шт,4601780006730,1,
